Year,ID,Station,Capacity,On-Peak Energy,Off-Peak Energy,CF,Energy,Mbtu,Cold,Warm,Stup Cst,Fuel Cst,VO&M Cst,FO&M Cst,Oper Cst,Tot Cst,Ave Hrt
2017,40,OffShrWind2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,41,DSG,8,1.194266451,0.058754641,1.787986718,1.253021092,12.79209233,,189,0,0.413338087,0,0,0,0.413338087,10209
2017,42,KSEP,1,1.9239,0,21.96232877,1.9239,1.9239,,365,0,0,0,0,0,0,1000
2017,43,KS2,5,11.2403,0.0167,25.70091324,11.257,11.257,,365,0,0,0,0,0,0,1000
2017,44,KREP,5,8.9675,0.0122,20.50159817,8.9797,8.9797,,365,0,0,0,0,0,0,1000
2017,45,HIE,1.7,8.40497,6.00355,96.75342466,14.40852,14.40852,,0,0,0,0,0,0,0,1000
2017,46,Chev,0.1,0.49441,0.35315,96.75342466,0.84756,0.84756,,0,0,0,0,0,0,0,1000
2017,48,WaiverPV1,27.6,65.389092,0.163668,27.1130137,65.55276,65.55276,,365,0,0,0,0,0,0,1000
2017,49,Kahuku,30,41.4432,30.1473,27.24143836,71.5905,71.5905,,200,0,0,0,0,0,0,1000
2017,50,Kawailoa,69,71.92215,47.20911,19.70936073,119.13126,119.13126,,7,0,0,0,0,0,0,1000
2017,51,DGPV,456.127475,734.7762821,0.650263769,18.40555692,735.4265459,735.4265459,,365,0,0,0,0,0,0,1000
2017,52,GridExportDGPVC,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,53,GridExportDGPVUC,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,54,FIT1-2,22.335,37.72770129,0.027851745,19.29704338,37.75555304,37.75555304,,365,0,0,0,0,0,0,1000
2017,55,FIT3,20,26.6161015,0.019642,19.26273793,26.6357435,26.6357435,,365,0,0,0,0,0,0,1000
2017,56,NPMWind,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,57,FutureWind,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,58,FuturePV,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,59,FuturePV2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,60,SCH-1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,61,SCH-2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2017,62,SCH-3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
